yyyy,public,all_stock,horz,domestic,relsize,bidder_mtb,bidder_lev,bidder_tang,bidder_cash,bidder_rd,rate,lbidder_size,med_mtb_sect
1998,1,0,0,1,3.1458247,1.595114,0.26310253,0.56459248,0.27484661,0,0.0669,1.7946719,2.1616395
1998,1,0,0,0,2.3719864,1.586463,0.28813809,0.3324894,0.001148013,0,0.062199999,5.0107255,2.1616395
1999,1,1,0,1,0.010128232,3.1796751,0.20657021,0.45017746,0.024843024,0,0.069299996,10.083347,1.6547184
1999,0,0,0,1,0.28922155,1.2519677,0.33542353,0.61154181,0.017266741,0,0.066199996,7.0639038,1.6547184
1999,1,0,0,1,1.2668,2.8570735,0.21851444,1.1020728,0.094299622,0,0.066199996,3.2188759,1.6547184
1999,1,0,0,1,0.020372333,3.5597787,0.31960803,1.0386618,0.02700188,0.024131445,0.073600002,9.6220522,1.6547184
1999,0,0,0,1,0.29302105,1.4280884,0.19132435,0.63695771,0.009060216,0,0.077800006,7.5989003,1.6547184
2000,0,0,0,1,0.93521583,3.5396533,0.3848744,0.64481711,0.005597219,0.01685725,0.075500004,9.3288345,1.769748
2000,1,0,1,1,0.33672079,1.253799,0.28244248,0.48336416,0.039974865,0,0.076200001,7.5543346,1.769748
2000,0,0,0,0,0.35476321,1.2879304,0.3067064,1.2655647,8.66386E-05,0.029237637,0.076200001,5.081634,1.769748
2000,1,0,0,1,0.47661409,3.4289129,0.33539209,1.0723689,0.031318236,0.021648264,0.074499995,9.1861506,1.769748
2000,1,0,1,1,0.99946433,1.0995246,0.28021294,0.9490242,0.023946188,0,0.075500004,5.6347895,1.769748
2000,1,0,0,1,0.31016892,1.6938769,0.21045209,0.52816361,0.012921634,0,0.076499999,9.1888456,1.769748
2000,0,0,0,0,0.12186207,2.4190416,0.062047064,0.3298296,0.073649287,0.009446765,0.079899997,4.9767337,1.769748
2000,0,1,0,1,0.99444807,1.6210717,0.019487325,0.6125195,0.07310579,0,0.076799996,3.2686515,1.769748
2000,1,0,0,0,0.012568166,2.7854602,0.17983082,0.47248361,0.026518391,0,0.076799996,9.8520889,1.769748
2000,0,0,0,0,0.052797865,3.2105494,0.29557124,0.55921054,0.010911425,0.011232349,0.076799996,9.5640211,1.769748
2000,1,0,0,1,0.20988056,3.5302119,0.16021879,0.50230753,0.054925647,0,0.071500003,11.135625,1.769748
2001,1,0,0,1,0.18395138,2.3014183,0.19360951,0.46180347,0.02704332,0,0.070199996,9.6675749,1.885617
2001,0,1,0,1,1.009203,1.829216,0.2869477,0.76913249,0.10866816,0,0.069699995,6.4997869,1.885617
2001,1,0,1,1,0.12267759,1.2289039,0.52044147,0.29985482,0.057986546,0,0.072899997,7.1553965,1.885617
2001,0,0,1,1,0.11080826,1.2291976,0.35258767,0.55266589,0.017389709,0,0.070300005,7.7084107,1.885617
2002,0,0,0,0,0.17826973,0.62066382,0.16045162,0.51250726,0.16600822,0,0.061500002,3.5360196,1.7680582
2002,0,0,0,1,5.2205057,1.367447,0.63143849,0.47113246,0.011031047,0.006227204,0.065300003,6.280396,1.7680582
2003,1,0,0,1,0.099333093,1.2499577,0.47698757,0.31996474,0.006972675,0,0.054899998,7.917172,1.9912692
2003,0,0,1,1,3.390492,1.0129719,0.3513121,0.9461875,0,0,0.057399999,4.1108737,1.9912692
2003,0,0,0,1,0.35847881,1.2177573,0.21501501,0.57129127,0.003843844,0.006006006,0.056199998,6.6871085,1.9912692
2003,1,0,1,0,0.61406064,1.3317741,0.37281227,0.27709061,0.00432058,0,0.059499998,7.5384951,1.9912692
2004,1,0,0,1,0.35333619,1.8392842,0.08016032,0.32972673,0.063298151,0,0.057300001,7.7621708,2.0944898
2004,1,0,1,0,1.6019444,1.1728512,0.25853312,0.92414182,0.004333264,0,0.056500003,7.8739786,2.0944898
2004,1,0,1,1,0.25852585,1.1803471,0.32001397,0.26069766,0.006680731,0,0.055199999,8.2895393,2.0944898
2005,1,0,1,0,0.21900529,1.3949442,0.41064024,0.25946558,0.002259689,0,0.0535,8.7064905,2.3036366
2005,1,0,0,1,0.047241379,1.2366866,0.15242513,0.18678048,0.040175028,0,0.0513,6.5861716,2.3036366
2006,0,0,1,1,0.074766353,4.4502516,0.11865931,0.56210911,0.17796853,0,0.056799997,4.6728287,2.7507429
2006,0,0,0,1,0.12571009,1.5764445,0.33241433,0.51335174,0.004883813,0.005907838,0.053300001,7.2145042,2.7507429
2006,1,0,1,1,0.72844219,1.4773434,0.20656171,0.70813644,0.052775525,0,0.055100001,7.41998,2.7507429
2006,1,0,1,1,0.25223282,1.1557871,0.37462965,0.53842789,0.014474217,0,0.055100001,8.0532513,2.7507429
2006,0,0,0,1,0.3571918,3.2232382,0.058073275,0.70988959,0.071784712,0,0.058899999,5.676754,2.7507429
2007,0,0,0,1,0.095059074,1.424587,0.25556767,0.29673171,6.41E-06,0.001068807,0.054699998,6.8362594,2.3188083
2007,0,0,0,1,0.38908488,1.4074185,0.092801087,0.51466876,0.20253667,0,0.0579,3.9884803,2.3188083
2007,0,0,1,1,1.8785784,1.5426821,0.36656716,0.4868325,0.012669983,0.005572139,0.054899998,7.2689199,2.3188083
2007,0,0,1,1,0.061452515,1.2499173,0,0.39576405,0.016810777,0,0.054699998,5.8805332,2.3188083
